date,GPR,sgpr_agri_food,sgpr_manufacturing,sgpr_construction,sgpr_services,year
2005-01-01,100.88758850097656,0.9650938135385513,1.0523441441357135,0.7561998447775842,1.2466662301123141,2005
2005-02-01,108.97796630859375,1.1396261801570655,1.233182157278061,0.9381012162566186,1.4174629580974578,2005
2005-03-01,90.41048431396484,0.8997766727954148,0.9636619116738439,0.7449458947777748,1.1362178994715215,2005
2005-04-01,87.03240203857422,0.7789222675561905,0.8433444084227085,0.6159392531216145,1.0003825764358043,2005
2005-05-01,98.20596313476562,0.9848983161523939,1.045215285271406,0.8037679477035999,1.2232356196641923,2005
2005-06-01,81.12405395507812,0.7640557603910564,0.8471707630157471,0.5919233839213849,0.9831059542298317,2005
2005-07-01,165.90191650390625,1.9502090995758774,1.7599902422726152,1.7430472597479822,2.1984614011645314,2005
2005-08-01,116.2276611328125,1.2181977158039807,1.179290503449738,1.0548002769052982,1.4426749823987484,2005
2005-09-01,103.80766296386719,1.058591585122049,1.0905453412979842,0.891491648107767,1.3071238982677456,2005
2005-10-01,87.06182861328125,0.8239299093559384,0.8640620607510208,0.6675667902827264,1.0398736099898815,2005
2005-11-01,83.48009490966797,0.7780353154987096,0.8042331303469837,0.6553112296760084,0.9662996762990951,2005
2005-12-01,95.35025024414062,0.8493837850168349,0.9063313091546297,0.6670325161516666,1.0814387099444864,2005
2006-01-01,94.51001739501953,1.0328408573009074,1.0773776285350323,0.8996306478232146,1.2584179462492466,2006
2006-02-01,95.85819244384766,1.0065272482484582,1.030789356082678,0.8551915472745896,1.2311905507743361,2006
2006-03-01,92.79762268066406,0.9138593631610273,0.9734289416670798,0.7635293884575366,1.167603968679905,2006
2006-04-01,89.01580047607422,0.8528093869425357,0.9132274191081523,0.7116668347269296,1.0869919551908969,2006
2006-05-01,85.20877838134766,0.9029178685694933,0.9506210109591484,0.7743528383970262,1.108933150544763,2006
2006-06-01,102.57276916503906,1.0391973007097839,1.0828069688379764,0.8813805006444453,1.288192439824343,2006
2006-07-01,137.13482666015625,1.360151182375848,1.4106212421506643,1.1759306375682355,1.688190801441669,2006
2006-08-01,147.08111572265625,1.5391293198615315,1.4601929948478936,1.3405944433808328,1.7861038652062413,2006
2006-09-01,111.72425842285156,1.1307330579310655,1.1587798131257294,0.9603581786155699,1.3724692998826502,2006
2006-10-01,113.13529968261719,1.1050454184785488,1.2374163094908,0.9424021603167057,1.4413454711437224,2006
2006-11-01,88.77892303466797,0.8365872289612889,0.8756945674493908,0.6930924600362778,1.0533778855204583,2006
2006-12-01,90.60655975341797,0.8633703838475049,0.9144398980587721,0.7161432806402445,1.093752034753561,2006
2007-01-01,97.9200439453125,0.8833539080247282,0.9767139940708875,0.6759728208184242,1.156794287264347,2007
