country,sector_bucket,year,r11_wm,r12_wm,r14_wm,r21_wm,r22_wm,r25_wm,r31_wm,r32_wm,r51_wm,r52_wm,r53_wm,nb_firms,death_rate,distress_label,gpr_global,gpr_global_lag1,sgpr,sgpr_lag1,crisis_2008,brexit_period,post_covid
AT,construction,2010,445.88687500000003,345.88687500000003,8.153125,12.818125,872.109375,29.380625000000002,35.4125,7.89375,24.2075,16.141875,9.395625,31442,8.24,0,84.17017555236816,83.1018575032552,0.6363041488608967,0.5987928271790346,0,0,0
AT,construction,2011,427.19125,327.19124999999997,8.63875,16.6675,853.42125,31.765625,36.525,7.60375,24.101875,15.499375,9.2725,33128,7.47,0,90.0953877766927,84.17017555236816,0.6795143020292745,0.6363041488608967,0,0,0
AT,construction,2012,387.52125,287.52125,8.50375,11.1375,837.74125,26.330625,36.480625,8.60375,27.338124999999998,14.415625,8.818125,35660,7.56,0,81.47523371378581,90.0953877766927,0.6253015484583254,0.6795143020292745,0,0,0
AT,construction,2013,374.445625,274.445625,7.763125,12.11875,930.563125,25.86,36.674375,8.879375,25.88875,13.824375,8.114375,37340,7.67,0,83.03660519917806,81.47523371378581,0.670008451458222,0.6253015484583254,0,0,0
AT,construction,2014,394.50124999999997,294.50125,8.063125,16.135,1009.231875,27.05875,37.651250000000005,8.81,30.010625,13.006875,8.365,37380,7.7,1,100.29158528645831,83.03660519917806,0.8475052869568268,0.670008451458222,0,0,0
AT,construction,2015,368.78499999999997,268.785,8.49875,17.418125,1107.493125,35.141875,37.015,8.39875,28.390625,12.891874999999999,7.7625,36782,7.4,0,105.95364507039388,100.29158528645831,0.8734492703558256,0.8475052869568268,0,0,0
AT,construction,2016,363.136875,263.136875,9.055625,18.610625,1285.88,21.61625,37.3225,9.598125,29.034375,12.40125,7.910625,38974,7.06,0,98.6786880493164,105.95364507039388,0.791875648982823,0.8734492703558256,0,1,0
AT,construction,2017,362.075,262.075,10.541875000000001,17.68375,1419.2125,17.155625,38.77375,10.67,33.09625,13.23375,8.311875,39740,6.74,0,107.37731170654295,98.6786880493164,0.84791637485226,0.791875648982823,0,1,0
AT,construction,2018,345.66375,245.66375,10.203125,14.823125,1516.270625,16.33,37.255625,9.535625,30.588124999999998,12.453125,7.9375,42458,6.35,0,98.5529073079427,107.37731170654295,0.9172852795571088,0.84791637485226,0,1,0
AT,construction,2019,351.85875,251.85875,10.158125,20.60875,1614.3975,22.20625,36.1075,8.180625,33.195,12.049375,7.74875,43520,6.32,0,90.94625282287598,98.5529073079427,0.8187635352959236,0.9172852795571088,0,1,0
AT,construction,2020,321.338125,221.338125,12.14125,20.0275,1530.3125,20.230625,37.488749999999996,9.07,31.726875,11.998750000000001,7.209375,45786,5.71,0,77.29380416870117,90.94625282287598,0.6530395732199152,0.8187635352959236,0,0,1
AT,manufacturing,2010,307.367027027027,207.36702702702704,9.760675675675675,6.711756756756757,1281.3560810810811,13.414864864864866,33.16945945945946,9.192702702702702,16.794999999999998,10.584189189189189,6.762162162162162,24841,4.98,0,84.17017555236816,83.1018575032552,0.8239942978074152,0.8144665918250878,0,0,0
AT,manufacturing,2011,299.5130136986302,199.51301369863015,8.616575342465753,5.987671232876712,1112.9846575342467,13.554109589041097,32.81123287671233,9.202739726027396,17.143698630136985,10.546986301369865,6.9626027397260275,24947,4.885,0,90.0953877766927,84.17017555236816,0.8510926116482974,0.8239942978074152,0,0,0
AT,manufacturing,2012,289.53,189.53,8.475277777777778,8.799027777777777,1074.5497222222223,16.46055555555556,32.52861111111111,7.682083333333334,17.047777777777778,10.273611111111112,6.829722222222222,26357,5.140000000000001,1,81.47523371378581,90.0953877766927,0.7813741859281436,0.8510926116482974,0,0,0
AT,manufacturing,2013,275.0105555555556,175.01055555555556,9.402361111111112,8.437777777777777,1236.1627777777778,14.590972222222222,32.83819444444444,7.6620833333333325,17.022222222222222,9.743611111111111,6.265833333333333,26587,5.25,1,83.03660519917806,81.47523371378581,0.836111462021557,0.7813741859281436,0,0,0
AT,manufacturing,2014,269.66236111111107,169.66236111111112,9.580555555555556,6.369861111111111,1375.9066666666668,13.075555555555557,33.844027777777775,8.349027777777778,17.76736111111111,9.68611111111111,6.406805555555556,26705,4.705,0,100.29158528645831,83.03660519917806,1.008006654403483,0.836111462021557,0,0,0
AT,manufacturing,2015,261.712,161.712,9.338857142857144,7.142714285714286,1463.092,12.032428571428571,33.88014285714286,8.267428571428573,17.879285714285714,9.677714285714286,6.014714285714286,25566,4.38,0,105.95364507039388,100.29158528645831,1.0973250161592538,1.008006654403483,0,0,0
AT,manufacturing,2016,256.1494366197183,156.14943661971833,9.541971830985915,5.7478873239436625,1744.067605633803,10.172676056338029,34.249295774647884,9.115352112676057,17.906478873239436,9.244225352112677,6.055070422535211,26305,4.975,0,98.6786880493164,105.95364507039388,1.0219491840836905,1.0973250161592538,0,1,0
